"name","position","position_raw","age","number","market_value","source"
"Municipal Mejillones Cantera 6","DEF","Left-Back","24","N/A","€60k","generated://coverage"
"Municipal Mejillones Cantera 10","MED","Central Midfield","20","N/A","€60k","generated://coverage"
"Municipal Mejillones Cantera 7","DEF","Right-Back","25","N/A","€65k","generated://coverage"
"Municipal Mejillones Cantera 1","ARQ","Goalkeeper","28","N/A","€35k","generated://coverage"
"Municipal Mejillones Cantera 5","DEF","Centre-Back","23","N/A","€55k","generated://coverage"
"Municipal Mejillones Cantera 18","DEL","Centre-Forward","20","N/A","€70k","generated://coverage"
"Municipal Mejillones Cantera 8","DEF","Centre-Back","26","N/A","€35k","generated://coverage"
"Municipal Mejillones Cantera 17","DEL","Centre-Forward","19","N/A","€65k","generated://coverage"
"Municipal Mejillones Cantera 15","DEL","Centre-Forward","25","N/A","€55k","generated://coverage"
"Municipal Mejillones Cantera 13","MED","Central Midfield","23","N/A","€75k","generated://coverage"
"Municipal Mejillones Cantera 9","MED","Central Midfield","19","N/A","€55k","generated://coverage"
"Municipal Mejillones Cantera 3","DEF","Centre-Back","21","N/A","€45k","generated://coverage"
"Municipal Mejillones Cantera 16","DEL","Centre-Forward","18","N/A","€60k","generated://coverage"
"Municipal Mejillones Cantera 14","MED","Central Midfield","24","N/A","€45k","generated://coverage"
"Municipal Mejillones Cantera 12","MED","Central Midfield","22","N/A","€70k","generated://coverage"
"Municipal Mejillones Cantera 11","MED","Central Midfield","21","N/A","€65k","generated://coverage"
"Municipal Mejillones Cantera 2","ARQ","Goalkeeper","29","N/A","€40k","generated://coverage"
"Municipal Mejillones Cantera 4","DEF","Centre-Back","22","N/A","€50k","generated://coverage"
