"name","position","position_raw","age","number","market_value","source"
"Municipal Ovalle Cantera 17","DEL","Centre-Forward","20","N/A","€80k","generated://coverage"
"Municipal Ovalle Cantera 1","ARQ","Goalkeeper","29","N/A","€50k","generated://coverage"
"Municipal Ovalle Cantera 5","DEF","Centre-Back","24","N/A","€35k","generated://coverage"
"Municipal Ovalle Cantera 12","MED","Central Midfield","23","N/A","€50k","generated://coverage"
"Municipal Ovalle Cantera 18","DEL","Centre-Forward","21","N/A","€50k","generated://coverage"
"Municipal Ovalle Cantera 2","ARQ","Goalkeeper","22","N/A","€55k","generated://coverage"
"Municipal Ovalle Cantera 6","DEF","Left-Back","25","N/A","€40k","generated://coverage"
"Municipal Ovalle Cantera 11","MED","Central Midfield","22","N/A","€45k","generated://coverage"
"Municipal Ovalle Cantera 13","MED","Central Midfield","24","N/A","€55k","generated://coverage"
"Municipal Ovalle Cantera 3","DEF","Centre-Back","22","N/A","€60k","generated://coverage"
"Municipal Ovalle Cantera 7","DEF","Right-Back","26","N/A","€45k","generated://coverage"
"Municipal Ovalle Cantera 15","DEL","Centre-Forward","18","N/A","€70k","generated://coverage"
"Municipal Ovalle Cantera 4","DEF","Centre-Back","23","N/A","€65k","generated://coverage"
"Municipal Ovalle Cantera 10","MED","Central Midfield","21","N/A","€75k","generated://coverage"
"Municipal Ovalle Cantera 16","DEL","Centre-Forward","19","N/A","€75k","generated://coverage"
"Municipal Ovalle Cantera 9","MED","Central Midfield","20","N/A","€70k","generated://coverage"
"Municipal Ovalle Cantera 14","MED","Central Midfield","25","N/A","€60k","generated://coverage"
"Municipal Ovalle Cantera 8","DEF","Centre-Back","27","N/A","€50k","generated://coverage"
