"name","position","position_raw","age","number","market_value","source"
"Carlos Uribe","DEF","Centre-Back","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"César Chacón","DEL","Delantero","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Alex Llafquén","MED","Volante","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Matías Villegas","ARQ","Portero","27","N/A","€35k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Nicolás Sgombich","MED","Volante","19","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Daniel Fehrmann","ARQ","Portero","29","N/A","€50k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Bruno Navarro","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Benjamín Prieto","ARQ","Portero","28","N/A","€40k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"José Bustos","MED","Volante","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Javier Reyes","MED","Volante","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Anyelo Garnica","DEF","Centre-Back","20","N/A","€40k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Matías Ramos","DEL","Delantero","18","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Walter López","DEL","Delantero","18","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Nicolás Suárez","DEL","Delantero","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Bastián Badilla","DEF","Centre-Back","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Lucas Benavides","DEL","Delantero","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Ángelo Garnica","DEF","Left-Back","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Bastián Carbullanca","DEF","Right-Back","25","N/A","€40k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Gonzalo Varas","MED","Volante","21","N/A","€50k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Alejandro Huicatripai","DEL","Delantero","19","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Max Bastias","DEF","Defensa","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Eduardo Delgado","DEF","Defensa","27","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Bryan Ortega","MED","Volante","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Mauricio Huinao","DEF","Defensa","20","N/A","€50k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Ricardo Rojas Vargas","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Raúl Muñoz Lobos","DEF","Defensa","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"José Ignacio Martínez","MED","Volante","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
"Marco Sandoval","DEL","Delantero","23","N/A","€50k","https://enelcamarin.cl/joomsport_team/municipal-de-paillaco/?sid=166009"
