- Felipe Arias Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Villegas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Prieto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Saldivia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Fehrmann Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Badilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. David Monsalvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Huinao Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Anyelo Garnica Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Bastián Carbullanca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Carlos Uribe Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Garnica Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Delgado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Muñoz Lobos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Max Bastias Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Cárdenas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Edson Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aland Soto Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Bryan Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- José Bustos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Ricardo Rojas Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
