"name","position","position_raw","age","number","market_value","source"
"Axel Godoy Isla","DEL","Delantero","18","N/A","€70k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Jean Cárcamo","MED","Volante","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Cristián Suazo","DEF","Defensa","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Erick Sepúlveda","DEL","Delantero","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Paul Fuentes","MED","Volante","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Juan José González","ARQ","Portero","22","N/A","€35k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Matías Soto Valdebenito Alarcon","DEF","Left-Back","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Claudio Olate","DEL","Delantero","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Lukas Carlos","DEL","Delantero","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Luciano Iglesias Moretti","DEF","Centre-Back","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"David Medina","DEL","Delantero","19","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Claudio Solís Opazo","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Brian Palma","DEL","Delantero","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Diego Fierro","ARQ","Portero","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Matías Villegas Lillo","ARQ","Portero","27","N/A","€35k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Javier Parraguez","MED","Volante","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Felipe Montero Toledo","DEF","Defensa","24","N/A","€40k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Jhan Allilef","MED","Volante","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Bastián Jara","DEF","Defensa","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Fabián Díaz","MED","Volante","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Brian Figueroa","MED","Volante","20","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Rodrigo Fernández","MED","Central Midfield","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Mauricio Campos","MED","Volante","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Daniel Rivas","DEF","Right-Back","25","N/A","€40k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Gabriel González","DEF","Defensa","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Jonathan Martínez","DEF","Centre-Back","24","N/A","€45k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Benjamín Salazar","DEF","Centre-Back","21","N/A","€50k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
"Matías Sepúlveda Brito","DEL","Delantero","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/nacimiento/?sid=166009"
