name,position,position_raw,age,number,market_value,source
Bastián Rubilar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Ángelo Araya,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Gustavo Garrido,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Miguel Ramos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Mirko Rivera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Cristóbal León Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Pablo Sepúlveda Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Cristóbal Huerta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Benjamín Muñoz Fernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
1. Lucas Campos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
José San Martín Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Matías Carreño Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Tomás Bahamondes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Sebastián Gajardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Denis Pereira Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Dilan Fuentes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Bastián Osorio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Matías Quintana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Juan Matta Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Cristofer Fuenzalida Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Juan Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
José Campos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
David Núñez Vásquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Bruno Cruz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Sebastián Sepúlveda Ortiz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Simón Castro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
David Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Lucas Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Paolo Flores Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
5. Benjamín Herrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Matías Alfaro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
13. Yarko Álvarez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
15. Juan Armijo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
23. Javier Barahona Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
13. Cristián Álvarez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
35. Iván Ruiz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Vicente Garrido Poblete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Adolfo Guzmán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Daniel Núñez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
David Peña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Matías Baeza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Matías Becerra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Juan Gabriel Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Ian Leal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Marco Fuentes Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Martín Leal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Gonzalo Luarte Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Sebastián Mora Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Luis Cofré Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Sebastián Vega Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Tomás Díaz Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Tobías Córdoba Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Felipe Peña Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Juan Díaz García Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Benjamín Hernández Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Benjamín Vidal Henríquez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Marco Almonacid Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
15. Axel Oviedo Flores Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
14. Bastián Soto Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Diego Vargas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Jean Franco Sepúlveda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
5. Dereck Salinas Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
20. Javier Ramos Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
17. Dalian Sandoval Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Fabián Neira Hermosilla Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Luciano López Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Héctor Farías Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
Nicolás Pérez Zúñiga Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/provincial-talagante/?sid=166009
