"name","position","position_raw","age","number","market_value","source"
"Diego Palominos","ARQ","Portero","27","N/A","€25k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Ariel Estrada","MED","Volante","23","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Benjamín Núñez","MED","Volante","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Tomás Hadweh","DEL","Delantero","18","N/A","€80k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Joaquín Tobar","ARQ","Portero","28","N/A","€55k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Sebastián Guzmán Caroca","DEF","Centre-Back","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Cristóbal Muñoz Palomino","DEF","Centre-Back","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Oscar Pino","DEL","Delantero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Benjamín Pérez Argomedo","ARQ","Portero","28","N/A","€30k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Benjamín Lecaros","DEF","Centre-Back","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Heriberto Riveros","DEF","Left-Back","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Michael Morales Palma","DEF","Defensa","21","N/A","€40k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Francisco Peñaloza","DEL","Delantero","18","N/A","€60k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Kevin Silva","MED","Volante","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Cristopher Ureta","MED","Volante","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Víctor Aranzáez","MED","Volante","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Brian López Pérez","DEL","Delantero","25","N/A","€60k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Felipe Quezada","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Martín Cordero","MED","Volante","19","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Cristóbal Moraga Leiva","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Matías Cristi","DEL","Delantero","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Emilio Gálvez","DEF","Defensa","23","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Raúl Pérez Barraza Sandoval","DEF","Right-Back","21","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Martín Dos Santos","DEL","Delantero","18","N/A","€60k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Benjamín Jiménez Quiroz","DEF","Defensa","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Franco Peñaloza","DEF","Defensa","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Darío Espíndola Saavedra","MED","Volante","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
"Jairo Sepúlveda","DEL","Delantero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/pumanque/?sid=166009"
