"name","position","position_raw","age","number","market_value","source"
"Mateo Toro","DEF","Defensa","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Gabriel Ramírez","DEL","Delantero","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Vicente Sobrevía Toloza","MED","Volante","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Miguel Cartes","MED","Central Midfield","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Franco Salazar","DEF","Left-Back","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Luis Rubilar","DEL","Delantero","19","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Carlos Parada","ARQ","Portero","22","N/A","€30k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Jason Cruces","DEL","Delantero","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Luis Ortega","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Matías Salvo Godoy","DEL","Delantero","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Ignacio Navarrete","MED","Volante","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Martín Mora","ARQ","Portero","23","N/A","€40k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Krishner Delgado Ñanculef","DEF","Right-Back","23","N/A","€35k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Miguel Alveal","DEF","Defensa","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Rafael Ruiz","DEF","Centre-Back","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Nicolás Fuentes","MED","Volante","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Bastián Zúñiga Cofre","DEF","Defensa","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Benjamín Pereira","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Ignacio Farías Neira","DEL","Delantero","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Jordán Jimenez","DEF","Centre-Back","23","N/A","€40k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Vicente Pereira","MED","Volante","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Franco Enríquez","DEL","Delantero","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Bayron Herrera (Sub 21)","ARQ","Portero","27","N/A","€55k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Marco Araya","DEL","Delantero","21","N/A","€80k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Iván Salamanca","MED","Volante","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Matías Matus Carrasco","DEF","Centre-Back","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Cristián Gatica","DEF","Defensa","21","N/A","€50k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
"Camilo Parra","MED","Volante","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/republica-independiente-de-hualqui/?sid=166009"
