name,position,position_raw,age,number,market_value,source
Mauricio Quiroz,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
25. José Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Ángel Marín Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Brayan Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
1. Matías Burgos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
1. Claudio Labraña Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Andro Martinic Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Marcelo Jélvez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Claudio Abarca Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Luciano Sepúlveda Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Joaquín Rubio Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Cristóbal Romero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Julián Márquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
3. Leonardo Aedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
9. Esteban Aguilera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
15. Fernando Urzúa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Bastián Carrasco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
12. Julio Medel Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
4. Camilo Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Felipe Lee-Chong Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
5. Ángel Rojas Martínez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Byron Manque Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Israel Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
4. Ángel Latorre Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Carlos Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
17. Jorge Ampuero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Kurt Zimmermann (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
14. Mirko Opazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Ricardo Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Kevin Serrano Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
César Evans Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
3. Jorge Ampuero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Ignacio Ayala Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Víctor Labrín Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
3. Ramiro Gálvez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
15. Diego Carimán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Rodrigo Sandoval Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
Bayron Saavedra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/rodelindo-roman/?sid=166009
