- 12. Gustavo Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Gómez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Víctor Gálvez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Alan Chaparro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Tomás Leiva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Robinson Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jairo López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Edwin Ortega (COL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Meyer (2001) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Santis Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Tello (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Gamonal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Fernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Viana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Cerda (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Claudio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Alejandro Fariña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Fabian Barbosa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Janson Novoa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Reinaldo Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Joseph Gondre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Mathías Sotomayor Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Maureira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Rodrigo Acum Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Fernando Pizarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Lee-Chong Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Pablo Quiroz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Camilo Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
