"name","position","position_raw","age","number","market_value","source"
"Tricolor Municipal Cantera 10","MED","Central Midfield","24","N/A","€60k","generated://coverage"
"Tricolor Municipal Cantera 12","MED","Central Midfield","26","N/A","€70k","generated://coverage"
"Tricolor Municipal Cantera 8","DEF","Centre-Back","22","N/A","€35k","generated://coverage"
"Tricolor Municipal Cantera 2","ARQ","Goalkeeper","25","N/A","€40k","generated://coverage"
"Tricolor Municipal Cantera 13","MED","Central Midfield","19","N/A","€75k","generated://coverage"
"Tricolor Municipal Cantera 11","MED","Central Midfield","25","N/A","€65k","generated://coverage"
"Tricolor Municipal Cantera 3","DEF","Centre-Back","25","N/A","€45k","generated://coverage"
"Tricolor Municipal Cantera 1","ARQ","Goalkeeper","24","N/A","€35k","generated://coverage"
"Tricolor Municipal Cantera 7","DEF","Right-Back","21","N/A","€65k","generated://coverage"
"Tricolor Municipal Cantera 14","MED","Central Midfield","20","N/A","€45k","generated://coverage"
"Tricolor Municipal Cantera 16","DEL","Centre-Forward","22","N/A","€60k","generated://coverage"
"Tricolor Municipal Cantera 18","DEL","Centre-Forward","24","N/A","€70k","generated://coverage"
"Tricolor Municipal Cantera 17","DEL","Centre-Forward","23","N/A","€65k","generated://coverage"
"Tricolor Municipal Cantera 6","DEF","Left-Back","20","N/A","€60k","generated://coverage"
"Tricolor Municipal Cantera 4","DEF","Centre-Back","26","N/A","€50k","generated://coverage"
"Tricolor Municipal Cantera 15","DEL","Centre-Forward","21","N/A","€55k","generated://coverage"
"Tricolor Municipal Cantera 5","DEF","Centre-Back","27","N/A","€55k","generated://coverage"
"Tricolor Municipal Cantera 9","MED","Central Midfield","23","N/A","€55k","generated://coverage"
