- Martín Camus | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Quiroga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Schaussmann | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamin Ulloa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Giovanni Sotelo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Hurtado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Aguilera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ivo Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Aguilera Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Collao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Gustavo Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elián Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Riquelme Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Burgos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Carvacho Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Sánchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jarod Barrios Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Sánchez Mandiola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Parada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Jhons Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Yáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Parraguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Catalán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Ayala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Carlos González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Williams Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Larraín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Matías González Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Vicente Zamorano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Benjamín Acevedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Benjamín Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Morales Lozano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Basso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Villaseca Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronaldo Burgos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Grégori Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
