- Camila Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Errázuriz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Vargas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Toselli Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Suárez Báez (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Dituro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Sepúlveda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Fernanda Cárdenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Canales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Bernedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Patricio Toledo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Nelson Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ballesteros Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 38. Thomas Guiller Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Constanza Barrientos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Tindra Biedermann Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 42. Paz González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Gillier Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peranic Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Cabello (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Huerta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Contreras (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Bustos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Barrientos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Moira Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Valdés (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paz Cárdenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Palma (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Melo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Kuscevic Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yerko Oyanedel (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
