- Damaris Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Puentes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Cristián Fernando Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Benítez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Diego Stuardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Guillermo Reyes (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Leyton Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mall Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Matamala (2002) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Araya (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Camila Pincheira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Bustos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Escalona Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel García (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Sanhueza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Yessenia Jorquera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Pincheira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Carlos Garcés (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Sepúlveda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Carrasco Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Espinoza (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Verónica Ribeiro (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
