- Nicolás Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nickolas Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Briceño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Carreño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucky Montecinos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Rodrigo Chinga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. José Olmos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Dallaserra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Carlos Tejas Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Maicol Vergara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Fuentealba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Felipe Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Ávila Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jourdan Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Gormaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego García Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Óscar Quijada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Ulloa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. José Gormaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Fernando Pizarro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Arce Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Dubó Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Ricardo Calderón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Márquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Jason Villanueva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Matías Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Valther Rozas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Benjamín Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Nicolás Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Alcayaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerald Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Iturriaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Mauricio Regodeceves Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Matías López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Ángel Latorre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- César Yáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Diego Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- René Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Fredes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Vásquez Cordero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Jordan Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Regodeceves Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Orellana Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Mario Ledezma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Zepeda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente López Mella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cabrera (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Nicolás Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Arriagada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Brain Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerson Pujado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Aguilera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Aguirre Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Díaz Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Espinoza Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ariel Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Urrutia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Peña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Ahumada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Cifuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Trigo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolas Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gianluca Lettura Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Egaña Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Ariel Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Hernán Ahumada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Paiva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jairo Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Iturriaga Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Maiko Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Garcia Moscoso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matias Ávila Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Gerard Manton Nuñez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Beltrán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Diego Carreño Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Patricio Berríos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Matías Ortega Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Gutiérrez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Tomás Vargas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Arriagada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Tapia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
