name,position,position_raw,age,number,market_value,source
Macarena Benavente,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Cecilia Cea,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Macarena Gutiérrez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
32. Camilo Reyes (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
23. Miguel Jiménez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Sebastián Contreras Riquelme Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Pedro Uribe Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Rodrigo Odriozola (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Celso Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Guillermo Gajardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Hernán Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Nicola Pérez (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Claudio Chandia (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Joaquín Ríos (2007) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Martina Rodríguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Tamara Contreras Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Diego Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
Fernanda Aguilera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/nublense/?sid=161381
