division,folder,reason
"tercera division a","AC Barnechea","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Atlético Colina","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Audax Italiano","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Brujas de Salamanca","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Cobreloa","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Cobresal","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Colchagua CD","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Colo Colo","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Colo-Colo","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Con Con National","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Coquimbo Unido","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Curicó Unido","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Antofagasta","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Concepción","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Copiapó","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Iquique","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes La Serena","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Limache","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Linares","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Melipilla","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Puerto Montt","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Quillón","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Recoleta","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Rengo","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Santa Cruz","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Deportes Temuco","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Everton","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","General Velásquez","archivo historico o carpeta archivada fuera del teams.txt activo"
"tercera division a","Huachipato","archivo historico o carpeta archivada fuera del teams.txt activo"
